name,genre,formed,country
Einstürzende Neubauten,Industrial,1980,Germany
Pink Floyd,Progressive Rock,1965,United Kingdom
Rush,Prog Rock,1968,Canada
Deafheaven,Blackgaze,2010,United States
Radiohead,Alternative Rock,1985,United Kingdom
Sigur Rós,Post Rock,1994,Iceland
Tool,Progressive Metal,1990,United States
Kraftwerk,Electronic,1970,Germany
Nine Inch Nails,Industrial,1988,United States
Portishead,Trip-Hop,1991,United Kingdom
Mogwai,Post-Rock,1995,United Kingdom
Godspeed You! Black Emperor,Post-Rock,1994,Canada
Massive Attack,Trip Hop,1988,United Kingdom
Björk,Art Pop,1993,Iceland
Sonic Youth,Noise Rock,1981,United States
My Bloody Valentine,Shoegaze,1983,Ireland
