iri,name,genre,formed,country
http://example.org/music/band/Einstürzende_Neubauten,Einstürzende Neubauten,Industrial,1980,Germany
http://example.org/music/band/Pink_Floyd,Pink Floyd,Progressive Rock,1965,United Kingdom
http://example.org/music/band/Rush,Rush,Prog Rock,1968,Canada
http://example.org/music/band/Deafheaven,Deafheaven,Blackgaze,2010,United States
http://example.org/music/band/Radiohead,Radiohead,Alternative Rock,1985,United Kingdom
http://example.org/music/band/Sigur_Rós,Sigur Rós,Post Rock,1994,Iceland
http://example.org/music/band/Tool,Tool,Progressive Metal,1990,United States
http://example.org/music/band/Kraftwerk,Kraftwerk,Electronic,1970,Germany
http://example.org/music/band/Nine_Inch_Nails,Nine Inch Nails,Industrial,1988,United States
http://example.org/music/band/Portishead,Portishead,Trip-Hop,1991,United Kingdom
http://example.org/music/band/Mogwai,Mogwai,Post-Rock,1995,United Kingdom
http://example.org/music/band/Godspeed_You!_Black_Emperor,Godspeed You! Black Emperor,Post-Rock,1994,Canada
http://example.org/music/band/Massive_Attack,Massive Attack,Trip Hop,1988,United Kingdom
http://example.org/music/band/Björk,Björk,Art Pop,1993,Iceland
http://example.org/music/band/Sonic_Youth,Sonic Youth,Noise Rock,1981,United States
http://example.org/music/band/My_Bloody_Valentine,My Bloody Valentine,Shoegaze,1983,Ireland
