festival,location,year,artist,stage
Roadburn,Tilburg,2024,Deafheaven,Main Stage
Roadburn,Tilburg,2024,Mogwai,Main Stage
Roadburn,Tilburg,2024,Einstürzende Neubauten,Main Stage
Roadburn,Tilburg,2024,Godspeed You! Black Emperor,Main Stage
Primavera Sound,Barcelona,2024,Radiohead,Estrella Damm
Primavera Sound,Barcelona,2024,Massive Attack,Tous
Primavera Sound,Barcelona,2024,Björk,Estrella Damm
Primavera Sound,Barcelona,2024,Deafheaven,Adidas
Primavera Sound,Barcelona,2024,Portishead,Tous
Roskilde,Roskilde,2024,Nine Inch Nails,Orange
Roskilde,Roskilde,2024,Sigur Rós,Orange
Roskilde,Roskilde,2024,Kraftwerk,Arena
Roskilde,Roskilde,2024,Massive Attack,Arena
Hellfest,Clisson,2024,Tool,Mainstage 1
Hellfest,Clisson,2024,Nine Inch Nails,Mainstage 2
Hellfest,Clisson,2024,Deafheaven,The Valley
Øya,Oslo,2024,Mogwai,Sjøsiden
Øya,Oslo,2024,Sigur Rós,Amfiet
Øya,Oslo,2024,Portishead,Amfiet
Øya,Oslo,2024,Sonic Youth,Enga
